location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
4237,28.05,17.9,24.75,1.3,10.55,17.45,28507.02572,0.069
4238,27.3,21.05,23.8,0.2,8.95,18.7,24908.5108,0.094
4239,31.55,16.3,23.65,0.7,8.45,19.3,27009.60953,0.051
4240,36.25,18.5,27.9,0,9.4,7.95,41714.90667,0.085
4241,34.95,14.7,26.65,0.2,9.85,13.7,36428.70826,0.09
4242,30.9,19.4,23.75,0.7,10.4,14.85,21266.47175,0.063
4243,34.95,17,27.45,0.3,8.7,11.65,28479.42826,0.062
4244,50.15,12.95,26.5,0.25,4.8,5.3,41452.62667,0.054
4245,28,15.15,23.15,0.45,15.65,17.65,31316.27175,0.067
4246,20.7,12.5,16.55,6.25,12.25,31.75,19445.43619,0.078
4247,22.9,17.55,23.95,3.45,14.35,17.85,25399.35048,0.112
4248,23.3,15.8,24.05,0.9,9.65,26.35,24466.70127,0.09
4249,29.25,16.95,19.55,1.15,8.55,24.5,28488.85619,0.049
4250,23.2,17.55,26.45,0.7,16.9,15.2,21957.12984,0.088
4251,28.35,17.55,20.5,0.1,17,16.5,22489.74794,0.097
4252,50.05,11.8,25.55,0.3,4.55,7.75,43484.0254,0.05
4253,46.9,14.35,23.2,0.2,6.6,8.85,38516.32191,0.068
4254,27.35,21.05,25.3,0.7,12.15,13.4,27452.28032,0.078
4255,49.6,13.05,24.9,0.1,6.5,5.9,43179.34667,0.056
4256,40.25,18.65,23.65,0.55,8.75,8.15,32952.55619,0.089
4257,21.65,16.7,22.15,2.05,15.45,22,24483.45397,0.111
4258,39.45,16.2,24.65,0.2,8,11.5,35845.82508,0.075
4259,27.85,17.2,22.3,1.85,14,16.8,22778.36064,0.064
4260,32,16.85,24.1,5.35,10.35,11.3,17130.57397,0.05
4261,26.2,20.2,24.6,0.15,12,16.85,23762.84699,0.103
4262,34.9,16,28.25,0.5,9.15,11.2,29005.05746,0.042
4263,40.65,17.35,21.75,3.85,8.55,7.85,28229.16635,0.111
4264,22.45,16.05,25.6,3.5,8.7,23.7,25631.79969,0.044
4265,32.25,18.2,24.25,1.2,8,16.2,25252.78318,0.09
4266,32.9,15.9,24.25,0.8,14.5,11.7,28905.54381,0.056
4267,27.05,14.5,21.1,1.2,13.45,22.65,25776.37619,0.089
4268,35.7,17.6,25.95,0.15,7.6,13.05,26733.21842,0.075
4269,24.95,17.9,19.75,2.7,14.25,20.5,26424.29937,0.071
4270,26.9,17.7,23.05,1.2,12.35,18.8,25818.70667,0.057
4271,31.75,18.15,29.2,0.2,8.45,12.35,22794.93842,0.059
4272,27.3,18.25,21.05,2.8,9.45,21.2,26141.39207,0.077
4273,22.35,23.9,18.95,4.6,10,20.2,23084.38667,0.103
4274,26.05,19,24.5,1.2,13.4,15.9,19256.88476,0.078
4275,30.35,21.3,21.6,7.5,9.85,9.45,24414.22603,0.126
4276,23.55,27.35,22.1,0.4,14.6,12.05,21156.80762,0.062
4277,31.5,17.45,23.2,0.75,10.75,16.3,26061.72318,0.079
4278,31,19.15,27.9,0.15,10.85,10.85,31566.16984,0.068
4279,28.2,14.95,26.7,0.75,13.95,15.5,26864.84,0.085
4280,28.85,19.8,23.85,0.55,10.55,16.45,30916.48095,0.095
4281,23.4,20.45,22.85,2.55,10.95,19.8,21530.94381,0.124
4282,29.05,16.2,22.5,0.65,10.75,20.95,27247.29302,0.069
4283,30.75,18.1,28.75,0.7,7.3,14.4,22494.85397,0.059
4284,39.65,15.95,27.6,0.1,6.05,10.6,30625.87111,0.061
4285,21.9,19.7,28.85,1,12,16.6,22917.64064,0.091
4286,40.9,16.25,26.1,0.2,8.7,7.9,41128.95651,0.09
4287,41.05,18.8,21.65,0,11.05,7.45,31223.10349,0.081
4288,42,14.9,24.1,0.4,10.85,7.85,40783.73905,0.062
4289,27.8,16.45,18.65,0.75,17.8,18.5,26492.64032,0.105
4290,27.5,15.7,21.65,4.75,11.15,19.25,23359.35334,0.118
4291,28.45,16.75,24.95,0.9,10.05,18.9,26502.27334,0.07
4292,27.95,17.55,21.6,5.15,11.45,16.25,21350.02667,0.061
4293,18.35,23.75,22.65,0.65,11.95,22.7,19750.44889,0.111
4294,28.55,20.65,22.65,1.2,12.95,14.05,23601.34032,0.119
4295,33.15,15.2,23.9,0.1,10.85,16.75,27373.0727,0.091
4296,25.05,18.3,23.4,1.1,15,17.15,24645.65746,0.083
4297,38.4,14.4,25.25,0.15,9.6,12.2,36300.30921,0.086
4298,35.85,15.3,23.75,1.1,8.4,15.6,29465.88984,0.039
4299,32.4,17.9,25,1.1,9.65,13.95,26045.63683,0.048
4300,29.35,13.85,27.05,6.15,11.5,12.1,16318.48159,0.094
4301,20.95,20.15,19.2,4.95,11.4,23.4,22006.62381,0.116
4302,23.6,24.15,24.5,0.8,13.2,13.75,26140.45524,0.077
4303,29.35,13.4,23.6,0.55,17.25,15.8,25983.48349,0.094
4304,35.55,16.35,29.4,0.9,8.75,9,30118.97524,0.085
4305,31.55,16.6,19.25,2.2,7.9,22.5,22720.87302,0.089
4306,28.8,18.55,23.15,0.9,8.5,20.05,23920.14159,0.073
4307,29.15,17.35,22.25,2.3,13.15,15.85,27058.81842,0.087
4308,22.2,14,22.05,1.1,15.8,24.8,22195.47556,0.105
4309,29.8,16.5,21.85,1.05,13.65,17.15,27141.01302,0.071
4310,33.2,19.15,22.6,2.15,13.35,9.5,20709.52794,0.069
4311,27.55,18.1,21.25,0.6,9.9,22.6,27535.20794,0.093
4312,40.9,14.55,25.6,0.1,11,7.9,46198.50032,0.06
4313,37.05,17.1,25.85,0.3,11.15,8.6,34729.55016,0.074
4314,27.3,20.45,22.3,1.75,10.45,17.75,22293.34445,0.103
4315,28.95,20.3,27.5,0.85,11.65,10.8,22356.23111,0.053
4316,28.3,17.3,23.95,0.95,9.2,20.35,27253.76381,0.073
4317,27.7,16.8,23,1.15,11.1,20.35,28378.73619,0.066
4318,26.8,15.95,24.95,0.75,9.95,21.65,28475.03937,0.108
4319,26.55,22.4,21.85,1.1,14.7,13.3,20567.20476,0.082
4320,33.55,21.6,22.2,0.4,15.85,6.4,31847.40445,0.072
4321,25.3,20.6,23.5,2.2,6.55,21.8,17851.44064,0.126
4322,27.9,18.05,20.95,2.1,9.55,21.45,27965.3908,0.067
4323,32.95,20.85,25.4,1.45,9.35,9.95,21467.39842,0.122
4324,41.3,17.3,23.05,0.65,8.7,8.95,26561.07619,0.064
4325,32.65,18.3,26.85,0.7,10.7,10.85,35535.11524,0.101
4326,44.35,17.8,23.8,0.45,5.85,7.75,22929.76889,0.038
4327,40.9,16.3,26.4,1.25,6.2,8.85,26208.01842,0.063
4328,34.7,16.5,26.85,0.55,12.45,8.9,30421.66191,0.059
4329,31.45,19.6,21.8,6.3,10.9,10.05,24004.0308,0.088
4330,33.15,23.95,22.55,1.3,9.35,9.75,13994.38032,0.088
4331,23,11.95,17.65,3.15,15.9,28.35,27404.52222,0.093
4332,28.6,16.25,22.7,0.55,10.3,21.6,25450.99524,0.104
4333,26.5,22.95,23.15,0.65,10.05,16.65,20068.90032,0.087
4334,27.2,22.75,25.6,0.85,14.5,9.1,21109.5673,0.061
4335,27.85,19.65,22.15,10.9,8.3,11.25,25438.37969,0.114
4336,23.5,18.6,23.05,12.15,10.05,12.7,22703.23175,0.136
4337,42.5,16.3,22.2,2.3,7.55,9.25,27184.23873,0.115
4338,27.55,11.05,26.3,0.55,10.8,23.8,30350.58032,0.116
4339,27.3,15.2,22.4,1.25,13.65,20.25,21347.92381,0.072
4340,39.5,17.95,25.3,0.4,8.5,8.25,32687.72921,0.089
4341,27.1,21.05,17.6,6.65,11.35,16.2,24283.08635,0.13
4342,23.6,14.25,26.45,0.65,17.15,17.95,26671.62794,0.083
4343,29.2,17.8,23.25,1.65,10.35,17.7,23342.56445,0.036
4344,33.3,16.85,25.45,0.75,11.45,12.2,27557.89048,0.086
4345,25.9,16,21.15,0.95,8.7,27.3,27142.78286,0.071
