location_id,total_votes,republicans_2016,democrats_2016,green_2016,libertarians_2016
4144,19389,67.97668781,26.13853216,1.09856104,4.78621899
4145,15434,59.09032007,34.84514708,1.574446028,3.777374627
4146,9469,83.1766818,14.41546098,0.327384095,1.531312705
4147,123943,46.10829171,51.19611434,1.004494001,1.691099941
4148,37124,59.55715979,34.91003125,0.719211292,3.205473548
4149,18287,51.51200306,46.57953738,0.289823372,1.186635315
4150,5576,79.41176471,16.98350072,0.197274032,2.43902439
4151,9596,65.50646103,32.89912464,0.364735306,0.698207586
4152,78255,61.65101271,34.56136988,0.604434221,3.183183183
4153,6745,73.06152706,23.52853966,0.66716086,1.793921423
4154,140145,50.74529951,42.68935745,1.511291876,5.054051161
4155,18495,81.96809949,15.65287916,0.291970803,1.405785347
4156,62313,63.53730361,31.06895832,0.503907692,3.702277213
4157,10107,59.19659642,37.39982191,0.791530622,2.048085485
4158,399219,37.05034079,58.56159151,1.423529441,2.964538261
4159,5975,75.43096234,21.08786611,0.535564854,1.974895397
4160,62463,55.92430719,38.43875574,0.714022701,3.278741015
4161,35068,67.81396145,28.59016767,0.473366032,2.626325995
4162,45126,66.56251385,28.21876524,0.944023401,3.833710056
4163,8513,52.47268883,38.98743099,1.468342535,5.650182074
4164,191684,38.65841698,56.01041297,1.133114918,3.763485737
4165,5151,63.32750922,30.73189672,0.504756358,2.154921374
4166,598783,42.41302776,52.1920295,1.59339861,3.234393762
4167,335017,39.10517974,56.54548874,1.365005358,2.984326169
4168,9855,71.76052765,23.90664637,0.61897514,3.155758498
4169,4862,17.23570547,82.39407651,0.102838338,0.267379679
4170,47068,74.94263619,21.83224271,0.558766041,2.666355061
4171,22875,65.49071038,28.72568306,1.189071038,4.004371585
4172,9439,67.58131158,26.79309249,0.6462549,4.248331391
4173,9831,88.00732377,10.30413997,0.203438104,0.905299563
4174,16098,75.9411107,18.169959,0.832401541,2.35432973
4175,23472,57.45569189,36.55419223,1.469836401,4.281697342
4176,6510,81.30568356,13.42549923,0.476190476,2.718894009
4177,2190,82.55707763,12.64840183,1.826484018,2.96803653
4178,21007,74.19431618,21.59756272,0.580758795,3.046603513
4179,18146,39.98126309,44.59936074,2.551526507,6.596495095
4180,331861,34.63739337,62.26703349,0.589102064,2.058090586
4181,4040,83.56435644,12.12871287,0.99009901,2.599009901
4182,3728,79.26502146,16.12124464,0.482832618,1.824034335
4183,203083,73.9539991,22.52478051,0.49979565,3.021424738
4184,22691,61.09911419,33.35243048,1.022431801,3.904631792
4185,7921,61.15389471,33.51849514,0.54286075,2.158818331
4186,34263,58.21731897,35.86667834,1.634416134,4.281586551
4187,7166,79.06782026,17.58303098,0.725648898,1.939715322
4188,24029,63.28602938,34.12127013,0.407840526,1.573099172
4189,61489,28.95151978,66.72738213,0.767616972,2.668770024
4190,9098,58.35348428,35.56825676,0.549571334,4.220707848
4191,13984,53.33237986,39.45223112,0.743707094,4.598112128
4192,120296,60.39519186,35.80750815,0.667520117,3.129779876
4193,15278,52.04215211,42.92446655,1.112711088,3.77012698
4194,62971,42.82765082,51.22675517,1.162439853,4.78315415
4195,24051,51.33674276,41.77373082,1.280612033,4.852189098
4196,23090,76.47466436,20.20355132,0.493720225,2.828064097
4197,12825,76,20.74853801,0.40545809,2.003898635
4198,12129,59.56797757,34.7266881,0.758512656,3.644158628
4199,14867,61.76094706,31.09571534,0.982040761,3.457321585
4200,48231,29.66556779,62.38518795,3.078932637,4.870311625
4201,45589,64.72833359,32.68551624,0.407993156,1.864484854
