location_id,white,black,hispanic,asian,american_ndian,other
3301,95,0.9,1.55,0.6,0.2,1.8
3302,91.4,1.6,3.25,2.25,0.5,1.15
3303,86.25,1.2,8.3,2.4,0.3,1.5
3304,93.7,4.1,1.25,0.25,0.15,0.45
3305,87.6,4.9,5.3,0.55,0.15,1.45
3306,96.5,0.8,0.9,0.2,0.2,1.45
3307,77.2,11.75,1.7,0.15,5.1,4.05
3308,87.8,7.45,1.85,1.55,0.25,1.15
3309,97.15,0.4,1,0.2,0.25,1
3310,95.95,1.05,1.4,0.25,0.1,1.3
3311,91.6,3.7,2.3,0.5,0.3,1.6
3312,35.95,61.5,1.45,0.35,0.1,0.55
3313,90.75,4.25,2.7,0.45,0.2,1.7
3314,97,1.15,1.1,0.1,0.1,0.65
3315,95.7,0.45,1.45,0.35,0.85,1.25
3316,94.45,1.45,1.6,1.75,0.1,0.7
3317,88.7,7.55,1.65,0.25,0.25,1.65
3318,94.8,2.05,1.3,0.6,0.25,1.05
3319,91.25,1.35,4.1,1.65,0.25,1.4
3320,97.2,0.95,1.2,0.25,0.05,0.35
3321,58.6,27.95,12.3,0.1,0.1,0.85
3322,79.2,8.2,6.45,3.65,0.25,2.25
3323,83.3,4,6.5,3.95,0.25,2.05
3324,96,0.4,1.45,0.35,0.75,1.15
3325,95.6,0.85,1.5,0.3,0.4,1.4
3326,84.3,9.55,3.65,0.65,0.6,1.25
3327,66.05,3.4,16.95,3.1,5.6,4.95
3328,58,28.85,6.85,3.8,0.3,2.25
3329,88.9,3.9,4.8,0.45,0.35,1.6
3330,95,1.05,1.7,0.15,0.6,1.5
3331,94.4,1.8,2.5,0.1,0.25,0.85
3332,90.1,0.3,4.4,0.9,1.5,2.8
3333,94.45,1.4,1.7,0.85,0.55,1.05
3334,46.2,1.6,48.9,1.6,0.45,1.3
3335,96.2,0.5,0.95,0.4,0.8,1.2
3336,90.7,0.65,6.65,0.55,0.3,1.1
3337,91.4,0.45,5.2,1.1,0.65,1.2
3338,93.7,0.9,4.2,0.3,0.05,0.8
3339,72.8,18.55,2.65,4.5,0.1,1.5
3340,92.65,2.55,3.1,0.65,0.15,1
3341,62.2,30.2,4.55,1.4,0.25,1.35
3342,37.65,7.05,37.65,13.55,0.5,3.65
3343,86.75,0.55,8.75,0.8,1.1,2.1
3344,95.25,2.2,1.25,0.35,0.2,0.75
3345,91.05,2.15,1.9,2.6,0.9,1.45
3346,96.85,0.45,0.95,0.55,0.2,0.9
3347,93.05,1.1,3.8,0.5,0.45,1.1
3348,95.9,0.85,1.8,0.5,0.1,0.8
3349,83.35,8.65,5.35,1.05,0.45,1.25
3350,73.95,14.9,5.2,3.2,0.2,2.5
3351,95.1,2.1,1.25,0.25,0.15,1.1
3352,89.2,0.5,8.45,0.55,0.3,1
3353,52.2,1.8,27.9,13.25,0.85,4
3354,88.1,2.6,4.75,3.2,0.1,1.2
3355,87.5,6.55,3,1.5,0.2,1.25
3356,77.2,11.9,6.05,2.85,0.25,1.8
3357,88.25,4.15,5.4,0.3,0.2,1.65
3358,45.65,25.35,24.2,2.2,0.5,2.1
3359,97.05,0.4,1.1,0.55,0.1,0.8
3360,83.55,2.1,10.9,1.7,0.05,1.65
3361,97.15,0.3,1.45,0.15,0.1,0.9
3362,95.3,0.95,1.7,0.65,0.15,1.25
3363,90.55,0.2,5.15,0.2,1.65,2.3
3364,40.2,5.5,47.65,3.75,0.65,2.25
3365,22.05,72.45,4.7,0.25,0.15,0.35
3366,82.85,0.9,8.05,2.45,2.35,3.3
3367,95.4,0.2,3.2,0.4,0.1,0.7
3368,63.45,17.5,15.55,1.55,0.2,1.75
3369,85.45,0.95,6.75,2.5,1,3.35
3370,90.15,4.85,3.45,0.5,0.1,0.95
3371,86.6,3.2,1.45,0.5,1.55,6.7
3372,69.25,0.35,17,0.65,10.4,2.3
3373,89.95,0.55,1.7,0.2,3.65,4
3374,80.95,2.65,12.2,1.05,0.8,2.25
3375,19.45,1.05,77.05,0.4,0.85,1.25
3376,66.85,31.55,0.6,0.15,0.15,0.7
